                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.5584,                0.96195,                0.97777,                0.91318,                0.87688,                0.90714,                 0.4629,                 1.4572,                0.92042,                0.95132,              0.0011696,              0.0011696,              0.0011696
                     58,                 1.6303,                 1.0402,                 1.0139,                0.93895,                  0.921,                0.95161,                0.48318,                 1.4565,                0.88984,                0.95331,              0.0011649,              0.0011649,              0.0011649
                     59,                 1.5795,                 1.0147,                 0.9906,                0.90328,                0.86547,                0.90896,                0.49184,                 1.5282,                0.91584,                0.97517,              0.0011602,              0.0011602,              0.0011602
                     60,                 1.6231,                 1.0449,                 1.0129,                0.90327,                0.83238,                0.91303,                0.51436,                 1.4117,                0.87853,                0.94253,              0.0011555,              0.0011555,              0.0011555
                     61,                 1.5063,                0.97595,                0.98758,                0.86755,                0.83731,                0.88556,                0.46345,                 1.5056,                0.94863,                0.97247,              0.0011508,              0.0011508,              0.0011508
                     62,                 1.4272,                0.85895,                0.97142,                0.88047,                0.88083,                 0.8998,                0.49786,                 1.4919,                0.86937,                0.96839,              0.0011461,              0.0011461,              0.0011461
                     63,                 1.5252,                0.93752,                0.99163,                0.92324,                0.89208,                0.91451,                0.51532,                 1.4488,                0.85056,                0.95509,              0.0011413,              0.0011413,              0.0011413
                     64,                 1.4927,                0.87394,                0.96606,                0.90324,                0.84686,                0.90766,                0.48721,                 1.4473,                0.88527,                0.95467,              0.0011366,              0.0011366,              0.0011366
                     65,                 1.5165,                0.92246,                0.99847,                0.71008,                0.68622,                0.75706,                0.39755,                  1.557,                 1.2889,                0.97782,              0.0011319,              0.0011319,              0.0011319
                     66,                 1.5503,                0.94327,                 1.0073,                0.78872,                0.79668,                0.81319,                0.39425,                 1.6712,                 1.0382,                 1.0067,              0.0011272,              0.0011272,              0.0011272
                     67,                 1.5516,                0.85331,                 1.0047,                0.95447,                0.87826,                0.92717,                0.50507,                 1.4142,                0.84568,                0.94624,              0.0011225,              0.0011225,              0.0011225
                     68,                  1.497,                0.91453,                0.95679,                0.91147,                 0.8693,                0.90606,                0.50108,                  1.392,                0.83619,                0.94163,              0.0011178,              0.0011178,              0.0011178
                     69,                 1.4645,                0.90478,                0.97311,                0.87631,                0.85279,                0.88586,                0.49334,                 1.4122,                0.85168,                0.93681,               0.001113,               0.001113,               0.001113
                     70,                 1.5388,                 0.9066,                0.96354,                0.93706,                0.86774,                 0.9229,                0.52113,                 1.4006,                0.83086,                0.94528,              0.0011083,              0.0011083,              0.0011083
                     71,                 1.4929,                0.91149,                0.96319,                0.93816,                0.90161,                0.92813,                0.53106,                  1.372,                0.80505,                0.93833,              0.0011036,              0.0011036,              0.0011036
                     72,                 1.4737,                0.91478,                0.98985,                0.91236,                0.87028,                0.89411,                0.50476,                 1.4147,                 0.8306,                0.94452,              0.0010989,              0.0010989,              0.0010989
                     73,                 1.4991,                0.88076,                0.96247,                0.87607,                0.92216,                0.92751,                0.49808,                  1.413,                0.91535,                0.93838,              0.0010942,              0.0010942,              0.0010942
                     74,                 1.5269,                0.87278,                0.95265,                0.89922,                0.89042,                0.92786,                0.51461,                 1.4041,                0.85143,                0.94059,              0.0010895,              0.0010895,              0.0010895
                     75,                 1.4755,                0.91257,                0.96539,                0.88839,                0.86849,                0.91906,                0.50637,                 1.4027,                0.85414,                 0.9355,              0.0010848,              0.0010848,              0.0010848
                     76,                 1.4806,                0.90352,                0.98632,                0.91449,                0.87843,                0.92879,                 0.5284,                 1.3962,                0.82225,                0.94131,                0.00108,                0.00108,                0.00108
                     77,                 1.5368,                0.93827,                0.98269,                0.93214,                0.87841,                0.93458,                0.51974,                 1.4033,                0.81858,                0.93756,              0.0010753,              0.0010753,              0.0010753
                     78,                 1.4616,                0.88196,                0.97491,                0.94026,                0.88543,                0.93266,                0.52951,                 1.3624,                0.81734,                0.93289,              0.0010706,              0.0010706,              0.0010706
                     79,                 1.4794,                0.88922,                 0.9384,                0.88524,                0.83986,                0.86761,                0.39787,                 1.7577,                 1.0258,                      1,              0.0010659,              0.0010659,              0.0010659
                     80,                 1.5257,                0.91627,                0.95702,                0.94434,                0.88306,                0.95431,                0.55387,                 1.3695,                0.78731,                0.93431,              0.0010612,              0.0010612,              0.0010612
                     81,                   1.51,                 0.8693,                0.98169,                0.93937,                0.88749,                0.94878,                0.56228,                 1.3705,                0.78981,                0.93515,              0.0010565,              0.0010565,              0.0010565
                     82,                 1.4847,                0.88438,                0.96769,                0.93183,                0.88549,                0.92855,                0.55019,                 1.3689,                 0.7817,                0.93291,              0.0010517,              0.0010517,              0.0010517
                     83,                 1.5041,                0.85254,                0.96193,                0.94074,                0.87895,                0.91793,                0.50944,                  1.473,                0.84984,                0.95438,               0.001047,               0.001047,               0.001047
                     84,                 1.5138,                 0.9025,                0.98664,                0.94429,                0.89554,                0.93643,                0.53989,                 1.4042,                0.79582,                0.94377,              0.0010423,              0.0010423,              0.0010423
                     85,                 1.4595,                0.84289,                0.94414,                0.91313,                0.86681,                0.91215,                0.50936,                 1.5123,                0.83725,                0.96297,              0.0010376,              0.0010376,              0.0010376
                     86,                 1.5412,                0.93546,                0.95644,                0.92614,                0.89144,                0.93431,                0.53139,                 1.3587,                0.77596,                0.93446,              0.0010329,              0.0010329,              0.0010329
                     87,                 1.4693,                0.89682,                0.96318,                0.93823,                0.86338,                0.93554,                0.54123,                 1.4126,                0.78101,                0.93986,              0.0010282,              0.0010282,              0.0010282
                     88,                 1.4601,                0.87804,                0.98384,                0.93368,                0.90854,                0.94287,                0.52426,                 1.3967,                0.79616,                0.93989,              0.0010234,              0.0010234,              0.0010234
                     89,                 1.4829,                0.84397,                0.98367,                0.94416,                0.91093,                0.94514,                0.52689,                 1.3972,                0.78777,                0.94819,              0.0010187,              0.0010187,              0.0010187
                     90,                 1.5137,                0.83432,                0.97443,                0.93892,                0.89453,                0.93283,                0.52633,                 1.3894,                0.79185,                0.93396,               0.001014,               0.001014,               0.001014
                     91,                 1.4939,                0.87272,                0.98743,                 0.9539,                0.89253,                 0.9455,                0.53958,                 1.3505,                0.76059,                0.92769,              0.0010093,              0.0010093,              0.0010093
                     92,                 1.5206,                0.85217,                0.97682,                0.95484,                0.90558,                0.94609,                0.55475,                 1.3475,                0.73849,                0.93412,              0.0010046,              0.0010046,              0.0010046
                     93,                 1.4519,                0.84348,                0.94111,                0.93792,                0.90655,                0.95743,                0.53865,                 1.3601,                0.76411,                0.92962,             0.00099987,             0.00099987,             0.00099987
                     94,                 1.5122,                 0.8258,                0.96405,                0.94644,                0.87691,                0.92249,                  0.524,                 1.4479,                0.80264,                0.94855,             0.00099516,             0.00099516,             0.00099516
                     95,                 1.4516,                0.78226,                0.95895,                 0.9172,                0.86614,                0.92482,                 0.5247,                 1.4183,                0.81158,                0.94339,             0.00099044,             0.00099044,             0.00099044
                     96,                 1.3983,                 0.7848,                0.98508,                0.90394,                0.76698,                 0.9083,                0.50458,                 1.4336,                0.88735,                0.94715,             0.00098572,             0.00098572,             0.00098572
                     97,                 1.4242,                0.82985,                0.94243,                0.78115,                0.77003,                0.86339,                0.45799,                 1.4979,                 1.0648,                0.96246,             0.00098101,             0.00098101,             0.00098101
                     98,                  1.439,                0.79636,                0.97303,                0.88072,                0.83005,                0.91344,                 0.4875,                 1.4973,                0.89126,                0.96847,             0.00097629,             0.00097629,             0.00097629
                     99,                 1.4301,                0.81717,                0.96434,                0.92102,                0.90459,                0.94098,                0.54268,                 1.3806,                0.76797,                0.93821,             0.00097158,             0.00097158,             0.00097158
                    100,                 1.4221,                0.80081,                0.94979,                0.91125,                0.89239,                0.92366,                0.53856,                 1.3581,                0.75853,                0.93316,             0.00096686,             0.00096686,             0.00096686
                    101,                  1.436,                0.81175,                0.97713,                0.94247,                0.92973,                0.95012,                0.57271,                 1.3173,                0.74711,                0.92455,             0.00096215,             0.00096215,             0.00096215
                    102,                  1.407,                0.80401,                0.93348,                0.93516,                0.89342,                0.94332,                0.56169,                 1.3314,                0.76854,                0.92467,             0.00095743,             0.00095743,             0.00095743
                    103,                 1.4314,                0.81208,                0.94706,                0.95208,                0.89343,                0.94986,                0.56206,                 1.3399,                0.73075,                0.92559,             0.00095271,             0.00095271,             0.00095271
                    104,                 1.4366,                0.80859,                0.95034,                0.95317,                0.91539,                0.96941,                0.56775,                 1.3347,                0.72561,                0.92312,               0.000948,               0.000948,               0.000948
                    105,                 1.3396,                0.78468,                0.93418,                0.93113,                0.87709,                0.94923,                0.56371,                 1.3023,                0.73832,                 0.9203,             0.00094328,             0.00094328,             0.00094328
                    106,                 1.3911,                0.76819,                0.95178,                 0.9489,                 0.8971,                0.95996,                0.55318,                 1.3193,                0.75041,                0.92651,             0.00093857,             0.00093857,             0.00093857
                    107,                 1.3787,                0.73796,                0.94647,                0.95626,                 0.9001,                0.96129,                0.59102,                 1.2591,                 0.7032,                0.91677,             0.00093385,             0.00093385,             0.00093385
                    108,                 1.4541,                0.76177,                0.93828,                0.94151,                0.87808,                0.94418,                0.56037,                 1.3822,                0.74812,                 0.9316,             0.00092914,             0.00092914,             0.00092914
                    109,                 1.4085,                0.76161,                0.95791,                 0.9463,                0.89408,                0.95024,                 0.5751,                 1.3125,                0.72949,                0.92007,             0.00092442,             0.00092442,             0.00092442
                    110,                 1.4066,                0.76139,                0.93648,                0.94663,                0.89213,                0.94456,                0.57703,                 1.3291,                0.71879,                0.92422,              0.0009197,              0.0009197,              0.0009197
                    111,                 1.3841,                0.75954,                0.96384,                0.97198,                0.92717,                0.97109,                0.60067,                 1.2276,                0.66552,                0.91091,             0.00091499,             0.00091499,             0.00091499
                    112,                 1.4192,                 0.7882,                0.93253,                0.94376,                0.89346,                0.95032,                 0.5356,                 1.3916,                0.72507,                0.92847,             0.00091027,             0.00091027,             0.00091027
                    113,                 1.3863,                0.75152,                0.93731,                0.93724,                0.91011,                0.95781,                0.57393,                 1.2743,                0.69099,                0.91663,             0.00090556,             0.00090556,             0.00090556
                    114,                 1.4346,                0.74429,                0.96463,                0.92675,                0.95107,                0.96377,                0.59102,                 1.2648,                0.67005,                0.91976,             0.00090084,             0.00090084,             0.00090084
                    115,                 1.4088,                0.72482,                0.93393,                0.95051,                0.89603,                0.95979,                0.58435,                 1.2691,                0.67174,                0.92436,             0.00089613,             0.00089613,             0.00089613
                    116,                 1.3883,                0.73088,                0.95831,                0.93714,                0.88705,                0.95096,                0.53616,                  1.346,                0.72244,                0.93194,             0.00089141,             0.00089141,             0.00089141
                    117,                 1.4153,                0.78917,                0.93115,                0.94928,                0.89616,                0.96105,                0.57292,                 1.2409,                0.68043,                0.90699,             0.00088669,             0.00088669,             0.00088669
                    118,                 1.3251,                0.74011,                0.93826,                0.94972,                0.89651,                 0.9408,                0.52471,                 1.3673,                  0.715,                0.93449,             0.00088198,             0.00088198,             0.00088198
                    119,                 1.4428,                0.77552,                0.95621,                0.94788,                0.89363,                0.93666,                0.56215,                 1.2551,                0.68456,                0.91279,             0.00087726,             0.00087726,             0.00087726
                    120,                 1.4223,                0.75726,                0.95459,                0.92074,                0.88322,                0.93045,                0.53415,                 1.3955,                 0.7496,                0.93064,             0.00087255,             0.00087255,             0.00087255
                    121,                 1.3969,                0.74538,                0.95186,                0.93365,                0.88644,                0.94876,                0.60213,                 1.2352,                0.67381,                 0.9067,             0.00086783,             0.00086783,             0.00086783
                    122,                 1.3941,                0.73993,                0.95119,                0.93647,                 0.9448,                0.96885,                0.53165,                 1.4499,                0.76463,                0.93775,             0.00086312,             0.00086312,             0.00086312
                    123,                 1.4277,                0.78045,                0.95171,                0.95005,                0.93843,                 0.9675,                0.60888,                  1.226,                0.65761,                0.91059,              0.0008584,              0.0008584,              0.0008584
                    124,                 1.4064,                0.70978,                0.93799,                0.94623,                0.93801,                0.95864,                0.60548,                 1.2272,                0.66449,                0.91249,             0.00085368,             0.00085368,             0.00085368
                    125,                 1.3677,                 0.7123,                0.92839,                0.94815,                0.93682,                0.95725,                0.60472,                 1.2092,                0.65754,                0.90178,             0.00084897,             0.00084897,             0.00084897
                    126,                 1.3472,                0.70755,                0.94792,                0.93284,                0.94334,                0.95885,                0.61075,                 1.1819,                0.66468,                0.89927,             0.00084425,             0.00084425,             0.00084425
                    127,                 1.3768,                 0.8223,                0.94746,                0.94386,                0.93034,                0.96008,                0.60191,                 1.1895,                0.66582,                0.89779,             0.00083954,             0.00083954,             0.00083954
                    128,                 1.3387,                0.72495,                0.92416,                 0.9364,                0.92445,                0.95037,                0.59886,                 1.2068,                0.66887,                0.90107,             0.00083482,             0.00083482,             0.00083482
                    129,                 1.3653,                0.72409,                0.94362,                0.94619,                0.91928,                 0.9585,                0.62463,                 1.1749,                0.65038,                0.90462,             0.00083011,             0.00083011,             0.00083011
